"club","in_degree","out_degree","in_strength","out_strength","betweenness","in_coreness","out_coreness","country_now","season_now","p_mid","rk_mid","g_diff_mid","pts_mid","p_final","rk_final","g_diff_final","pts_final","country_before","season_before","p","rk","g_diff","pts"
"Newcastle",12,5,41800012,22250005,2199.61649493653,3,3,"England",2007,19,11,-3,26,38,12,-20,43,"England",2006,38,13,-9,43
"OGC Nice",11,9,2200011,8300009,13081.8332231797,2,3,"France",2007,19,7,5,29,38,8,5,55,"France",2006,38,16,-6,43
"Olympique Lyon",10,6,47400010,57600006,190,3,3,"France",2007,19,1,22,39,38,1,37,79,"France",2006,38,1,37,81
"Paris SG",11,7,14000011,7800007,1218,1,3,"France",2007,19,17,-4,22,38,16,-8,43,"France",2006,38,15,0,48
"Parma",11,5,10900011,4200005,5560.95056055056,2,2,"Italy",2007,19,15,-7,18,38,19,-20,34,"Italy",2006,38,12,-15,42
"Portsmouth",16,11,52410016,15000011,5407.93031927375,3,3,"England",2007,19,7,10,31,38,8,8,57,"England",2006,38,9,3,54
"Racing",20,5,17680020,15800005,13065.0060348316,3,3,"Spain",2007,19,6,1,32,38,6,1,60,"Spain",2006,38,10,-6,50
"RCD Mallorca",8,2,7500008,8000002,2059.13504803441,3,1,"Spain",2007,19,13,-3,22,38,7,15,59,"Spain",2006,38,11,-6,49
"Reading",22,11,8400022,5200011,8548.42071457259,3,3,"England",2007,19,12,-11,22,38,18,-25,36,"England",2006,38,8,5,55
"Real Betis",7,1,16800007,1,947.156312751576,3,1,"Spain",2007,19,16,-8,21,38,14,-6,47,"Spain",2006,38,16,-13,40
"Real Madrid",12,11,118000012,38100011,26116.7375002436,3,3,"Spain",2007,19,1,27,47,38,1,48,85,"Spain",2006,38,2,26,76
"Real Zaragoza",12,6,23900012,21200006,9858.02426825264,3,3,"Spain",2007,19,12,-3,22,38,18,-11,42,"Spain",2006,38,6,12,60
"Recr. Huelva",15,8,7790015,1200008,12341.3280595998,3,3,"Spain",2007,19,17,-9,21,38,16,-20,44,"Spain",2006,38,8,2,54
"Reggina",14,7,6000014,17500007,4956.11152660906,3,2,"Italy",2007,19,18,-12,17,38,16,-19,40,"Italy",2006,38,14,2,40
"Saint-Étienne",13,8,20300013,16850008,3114,3,3,"France",2007,19,11,0,25,38,5,13,58,"France",2006,38,11,2,49
"Sampdoria",14,7,13000014,9500007,22183.9357650351,3,3,"Italy",2007,19,8,1,25,38,6,10,60,"Italy",2006,38,9,-4,49
"Sevilla FC",10,4,29000010,7000004,6728.66693544587,3,2,"Spain",2007,19,8,10,26,38,4,26,64,"Spain",2006,38,3,29,71
"Siena",15,8,8550015,2500008,3580.71666666667,3,3,"Italy",2007,19,17,-8,17,38,13,-5,44,"Italy",2006,38,15,-10,40
"Spurs",14,6,64350014,10800006,5388.6143040653,3,3,"England",2007,19,13,3,21,38,11,5,46,"England",2006,38,5,3,60
"Stade Rennais",7,6,8500007,15400006,1218,1,3,"France",2007,19,13,-5,25,38,6,3,58,"France",2006,38,4,8,57
"Torino",14,2,7810014,2,7724.71910791717,3,1,"Italy",2007,19,16,-7,17,38,15,-13,40,"Italy",2006,38,17,-20,40
"Toulouse",11,1,8100011,2000001,573,3,1,"France",2007,19,12,-2,25,38,17,-6,42,"France",2006,38,3,4,58
"Udinese Calcio",18,14,22185018,28960014,12506.2619533531,3,3,"Italy",2007,19,5,1,32,38,7,-5,57,"Italy",2006,38,10,-6,46
"US Palermo",8,2,20900008,1000002,760,3,1,"Italy",2007,19,10,-6,25,38,11,-10,47,"Italy",2006,38,6,7,58
"Valencia",9,11,51800009,6500011,4013.99312622598,3,2,"Spain",2007,19,7,-7,27,38,10,-14,51,"Spain",2006,38,4,15,66
"Valenciennes FC",6,0,3300006,0,0,1,0,"France",2007,19,6,6,29,38,13,2,45,"France",2006,38,17,-12,43
"VfB Stuttgart",10,3,10400010,900003,3920.86814068285,2,2,"Germany",2007,17,8,-1,25,34,6,0,52,"Germany",2006,34,1,24,70
"VfL Bochum",11,5,3050011,4700005,7282.86533189033,1,2,"Germany",2007,17,13,-2,19,34,12,-6,41,"Germany",2006,34,8,-1,45
"VfL Wolfsburg",17,5,38210017,8100005,5112.72986618927,2,2,"Germany",2007,17,11,0,20,34,5,12,54,"Germany",2006,34,15,-8,37
"Villarreal",9,10,33500009,29850010,6293.22408922775,3,3,"Spain",2007,19,5,4,35,38,2,23,77,"Spain",2006,38,5,4,62
"Werder Bremen",15,5,29100015,21000005,1944.7289044289,1,2,"Germany",2007,17,2,18,36,34,2,30,66,"Germany",2006,34,3,36,66
"West Ham",15,7,47150015,42000007,1140.47208902209,3,3,"England",2007,19,10,3,26,38,10,-8,49,"England",2006,38,15,-24,41
"Wigan",17,7,9650017,9000007,6825.60620518972,3,3,"England",2007,19,17,-15,16,38,14,-17,40,"England",2006,38,17,-22,38
"AC Milan",10,8,45800010,27400008,20733.0666666667,3,3,"Italy",2008,19,3,11,37,38,2,35,74,"Italy",2007,38,5,28,64
"AJ Auxerre",10,4,8150010,3000004,2321.58333333333,1,2,"France",2008,19,15,-5,20,38,8,0,55,"France",2007,38,15,-19,44
"Arm. Bielefeld",9,0,2800009,0,0,1,0,"Germany",2008,17,14,-12,14,34,18,-27,28,"Germany",2007,34,15,-25,34
"Arsenal",11,6,22700011,27100006,6042.9,2,3,"England",2008,19,5,9,32,38,4,31,72,"England",2007,38,3,43,83
"AS Nancy",8,1,6300008,1,1376,1,1,"France",2008,19,10,1,25,38,15,-9,42,"France",2007,38,4,14,60
"AS Roma",13,11,40400013,15200011,11778.2335497835,3,3,"Italy",2008,19,8,1,30,38,6,3,63,"Italy",2007,38,2,35,82
"Aston Villa",13,2,64700013,3750002,13820.5372294372,2,2,"England",2008,19,4,10,35,38,6,6,62,"England",2007,38,6,20,60
"Atalanta BC",14,5,14150014,12400005,16411.8333333333,3,3,"Italy",2008,19,10,3,27,38,11,-3,47,"Italy",2007,38,9,-4,48
"Athletic",5,4,325005,6000004,697,1,2,"Spain",2008,19,9,-2,26,38,13,-15,44,"Spain",2007,38,11,-3,50
"Atlético Madrid",8,10,24500008,800010,3551.72705627706,2,2,"Spain",2008,19,6,12,31,38,4,23,67,"Spain",2007,38,5,19,64
"Barcelona",6,5,88000006,40550005,600,2,3,"Spain",2008,19,1,46,50,38,1,70,87,"Spain",2007,38,3,33,67
"Bay. Leverkusen",9,3,7600009,2850003,7883.75,2,1,"Germany",2008,17,5,15,32,34,9,13,49,"Germany",2007,34,7,17,51
"Blackburn",8,3,9480008,22000003,946,3,2,"England",2008,19,19,-14,17,38,15,-20,41,"England",2007,38,7,2,58
"Bolton",7,7,21800007,5800007,26954.1794372294,2,3,"England",2008,19,10,-5,23,38,13,-12,41,"England",2007,38,16,-18,37
"Bor. Dortmund",11,7,15950011,17350007,3315.66666666667,2,3,"Germany",2008,17,6,8,29,34,6,23,59,"Germany",2007,34,13,-12,40
"CA Osasuna",6,4,5050006,4750004,4391.7,1,2,"Spain",2008,19,20,-9,13,38,14,-6,43,"Spain",2007,38,17,-7,43
"Cagliari Calcio",8,6,18560008,1600006,1169.58333333333,2,3,"Italy",2008,19,11,0,25,38,9,-1,53,"Italy",2007,38,14,-16,42
"Catania",9,2,5500009,12000002,1500.83333333333,1,2,"Italy",2008,19,12,-4,25,38,15,-10,43,"Italy",2007,38,17,-12,37
"Chelsea",4,8,30500004,42200008,2177.47222222222,1,3,"England",2008,19,2,31,41,38,3,44,83,"England",2007,38,2,39,85
"Dep. La Coruña",10,8,9200010,24360008,2093.9375,2,2,"Spain",2008,19,8,-4,30,38,7,1,58,"Spain",2007,38,8,-1,52
"E. Frankfurt",5,1,5700005,20001,2145,1,1,"Germany",2008,17,12,-6,19,34,13,-21,33,"Germany",2007,34,9,-7,46
"Energie Cottbus",11,3,1700011,3,2378,1,1,"Germany",2008,17,16,-17,13,34,16,-27,30,"Germany",2007,34,14,-21,36
"Espanyol",9,2,12500009,18500002,346,1,2,"Spain",2008,19,18,-15,15,38,10,-3,47,"Spain",2007,38,12,-9,48
"Everton",10,3,25010010,13300003,7744.14047619048,2,2,"England",2008,19,6,-1,29,38,5,18,63,"England",2007,38,5,22,65
"FC Bayern",2,4,2,18900004,18,1,2,"Germany",2008,17,2,15,35,34,2,29,67,"Germany",2007,34,1,47,76
"FC Lorient",9,1,3000009,1,770,1,1,"France",2008,19,9,2,26,38,10,0,45,"France",2007,38,10,-3,52
"FC Schalke 04",6,3,15500006,4000003,1871,1,1,"Germany",2008,17,7,8,27,34,8,12,50,"Germany",2007,34,3,23,64
"FC Sochaux",13,5,2550013,4700005,8728.05,2,2,"France",2008,19,19,-7,14,38,14,-8,42,"France",2007,38,14,-9,44
"Fiorentina",10,4,47700010,2200004,4283.29372294372,3,2,"Italy",2008,19,6,9,32,38,5,15,68,"Italy",2007,38,4,16,66
"Fulham",15,7,26850015,1500007,21068.3134920635,3,3,"England",2008,19,9,1,25,38,7,5,53,"England",2007,38,17,-22,36
"G. Bordeaux",4,1,7900004,2500001,173,1,1,"France",2008,19,2,12,35,38,1,30,80,"France",2007,38,2,27,75
"Genoa",20,8,51800020,30100008,15807.1205627706,3,3,"Italy",2008,19,4,12,35,38,4,17,68,"Italy",2007,38,10,-8,48
"Getafe",8,5,17500008,5700005,9907.82916666667,3,2,"Spain",2008,19,14,-6,21,38,17,-6,42,"Spain",2007,38,13,-4,47
"Hamburger SV",9,6,47100009,37600006,518,2,3,"Germany",2008,17,4,2,33,34,5,2,61,"Germany",2007,34,4,21,54
"Hannover 96",8,0,3400008,0,0,1,0,"Germany",2008,17,13,-12,17,34,11,-20,40,"Germany",2007,34,8,-2,49
"Hertha BSC",14,1,6400014,1,439,2,1,"Germany",2008,17,3,7,33,34,4,7,63,"Germany",2007,34,10,-5,44
"Inter",8,4,63800008,6000004,1788,2,2,"Italy",2008,19,1,18,43,38,1,38,84,"Italy",2007,38,1,43,85
"Juventus",12,8,37400012,30700008,14313.0372294372,3,3,"Italy",2008,19,2,18,40,38,3,32,74,"Italy",2007,38,3,35,72
"Karlsruher SC",3,2,1100003,2650002,374,1,1,"Germany",2008,17,15,-17,13,34,17,-24,29,"Germany",2007,34,11,-15,43
"Lazio",13,7,22550013,12700007,7692.75367965368,2,2,"Italy",2008,19,7,5,31,38,10,-9,50,"Italy",2007,38,12,-4,46
"Le Mans UC 72",8,2,11600008,600002,3349,1,2,"France",2008,19,12,-3,24,38,16,-11,40,"France",2007,38,9,-3,53
"Liverpool",16,8,95450016,29000008,3834.83333333333,3,3,"England",2008,19,1,18,42,38,2,50,86,"England",2007,38,4,39,76
"LOSC Lille",13,7,22500013,19700007,22292.4023809524,2,2,"France",2008,19,6,9,32,38,5,12,64,"France",2007,38,7,13,57
"Man City",14,5,164600014,34500005,1335.33333333333,3,3,"England",2008,19,15,8,21,38,10,8,50,"England",2007,38,9,-8,55
"Man Utd",15,7,76000015,5000007,17025.5642857143,3,3,"England",2008,19,3,22,41,38,1,44,90,"England",2007,38,1,58,87
"Marseille",15,8,30720015,23750008,7258.25,2,3,"France",2008,19,5,9,32,38,2,32,77,"France",2007,38,3,13,62
"Middlesbrough",14,5,16600014,7520005,1948,2,2,"England",2008,19,17,-11,20,38,19,-29,32,"England",2007,38,13,-10,42
"Monaco",17,9,5200017,34900009,20206.9833333333,1,3,"France",2008,19,14,-1,23,38,11,-4,45,"France",2007,38,12,-8,47
"Newcastle",11,5,36260011,36500005,1001.66666666667,2,2,"England",2008,19,12,-2,22,38,18,-19,34,"England",2007,38,12,-20,43
"OGC Nice",9,6,15750009,35400006,2108.75,2,3,"France",2008,19,8,4,30,38,9,-1,50,"France",2007,38,8,5,55
"Olympique Lyon",12,5,50300012,32000005,1203,2,3,"France",2008,19,1,11,38,38,3,23,71,"France",2007,38,1,37,79
"Paris SG",9,6,8000009,6500006,28921.3333333334,2,3,"France",2008,19,4,7,33,38,6,11,64,"France",2007,38,16,-8,43
"Portsmouth",7,7,19950007,17750007,3404.2,2,3,"England",2008,19,11,-11,23,38,14,-19,41,"England",2007,38,8,8,57
"Racing",10,7,2650010,15500007,29143.2836038961,2,3,"Spain",2008,19,10,-2,25,38,11,1,46,"Spain",2007,38,6,1,60
"RCD Mallorca",10,3,8550010,16400003,343,2,2,"Spain",2008,19,19,-19,14,38,9,-7,51,"Spain",2007,38,7,15,59
"Real Betis",6,4,25200006,200004,642.533333333333,2,1,"Spain",2008,19,13,-1,21,38,18,-7,42,"Spain",2007,38,14,-6,47
"Real Madrid",6,8,33700006,110000008,7426.01666666667,3,3,"Spain",2008,19,2,14,38,38,2,31,78,"Spain",2007,38,1,48,85
"Real Valladolid",7,3,750007,5500003,2724.09583333333,2,2,"Spain",2008,19,12,-3,23,38,15,-12,43,"Spain",2007,38,15,-15,45
"Recr. Huelva",12,1,4690012,10000001,346,2,1,"Spain",2008,19,16,-11,20,38,20,-23,33,"Spain",2007,38,16,-20,44
"Reggina",11,7,6350011,9860007,7161.03701298702,3,3,"Italy",2008,19,20,-20,13,38,19,-32,31,"Italy",2007,38,16,-19,40
"Saint-Étienne",14,3,9500014,7000003,3498,2,1,"France",2008,19,17,-13,19,38,17,-16,40,"France",2007,38,5,13,58
"Sampdoria",12,10,27900012,8000010,1203,3,3,"Italy",2008,19,15,-7,20,38,13,-3,46,"Italy",2007,38,6,10,60
"Sevilla FC",7,5,37700007,59250005,1189,2,3,"Spain",2008,19,3,12,38,38,3,15,70,"Spain",2007,38,4,26,64
"Siena",20,7,15400020,4250007,9317.2,3,3,"Italy",2008,19,14,-5,22,38,14,-11,44,"Italy",2007,38,13,-5,44
"SM Caen",8,2,7640008,7200002,1040,1,1,"France",2008,19,13,2,23,38,18,-7,37,"France",2007,38,11,-5,51
"Spurs",18,12,106400018,152250012,1313.83333333333,3,3,"England",2008,19,16,-3,20,38,8,0,51,"England",2007,38,11,5,46
"SSC Napoli",10,4,26740010,10550004,1594.83333333333,3,3,"Italy",2008,19,5,9,33,38,12,-2,46,"Italy",2007,38,8,-3,50
"Stade Rennais",13,7,14000013,11400007,3723.13968253969,2,3,"France",2008,19,3,11,34,38,7,8,61,"France",2007,38,6,3,58
"Sunderland",19,12,43310019,7850012,12132.6388888889,3,3,"England",2008,19,14,-5,22,38,16,-20,36,"England",2007,38,15,-23,39
"Torino",11,7,17000011,8800007,7091.37943722944,3,3,"Italy",2008,19,18,-15,15,38,18,-24,34,"Italy",2007,38,15,-13,40
"Toulouse",14,8,9800014,22200008,7148.1,2,3,"France",2008,19,7,4,31,38,4,18,64,"France",2007,38,17,-6,42
"UD Almería",8,2,14500008,8000002,1550,1,2,"Spain",2008,19,15,-8,21,38,12,-16,46,"Spain",2007,38,9,-4,52
"Udinese Calcio",12,9,16800012,20000009,7152.77705627706,3,3,"Italy",2008,19,13,-3,23,38,7,11,58,"Italy",2007,38,7,-5,57
"US Palermo",15,3,47300015,4050003,1428.33333333333,3,2,"Italy",2008,19,9,3,29,38,8,7,57,"Italy",2007,38,11,-10,47
"Valencia",7,6,6000007,6700006,9099.20714285714,2,2,"Spain",2008,19,4,11,34,38,6,14,62,"Spain",2007,38,10,-14,51
"Valenciennes FC",11,3,7800011,8200003,1616,2,1,"France",2008,19,18,-9,15,38,12,-7,44,"France",2007,38,13,2,45
"VfB Stuttgart",9,3,6300009,6600003,3063,2,2,"Germany",2008,17,10,3,25,34,3,20,64,"Germany",2007,34,6,0,52
"VfL Bochum",6,1,4400006,1,1772,1,1,"Germany",2008,17,17,-11,11,34,14,-16,32,"Germany",2007,34,12,-6,41
"VfL Wolfsburg",12,5,30250012,1750005,7384.75,2,2,"Germany",2008,17,9,10,26,34,1,39,69,"Germany",2007,34,5,12,54
"Villarreal",4,7,14070004,23500007,22186.669047619,2,2,"Spain",2008,19,5,7,33,38,5,7,65,"Spain",2007,38,2,23,77
"Werder Bremen",5,4,5400005,2500004,945,1,2,"Germany",2008,17,8,11,26,34,10,14,45,"Germany",2007,34,2,30,66
"West Ham",14,6,6300014,51400006,692,3,3,"England",2008,19,13,-5,22,38,9,-3,51,"England",2007,38,10,-8,49
"Wigan",6,5,10800006,5,1520.77777777778,1,2,"England",2008,19,8,1,25,38,11,-11,45,"England",2007,38,14,-17,40
"1. FC Köln",6,2,11000006,750002,524,1,1,"Germany",2009,17,12,-5,18,34,13,-9,38,"Germany",2008,34,12,-15,39
"AC Milan",6,5,20300006,80650005,516.296037296037,2,2,"Italy",2009,19,2,13,40,38,3,21,70,"Italy",2008,38,2,35,74
"AJ Auxerre",10,2,1500010,3700002,2022.66666666667,2,2,"France",2009,19,5,4,32,38,3,13,71,"France",2008,38,8,0,55
"Arsenal",9,4,12000009,47700004,2777.56657183397,2,3,"England",2009,19,2,29,41,38,3,42,75,"England",2008,38,4,31,72
"AS Nancy",12,4,8200012,4,3990.5675990676,2,2,"France",2009,19,12,-3,26,38,12,-7,48,"France",2008,38,15,-9,42
"AS Roma",13,7,3500013,22850007,9091.25789129341,3,3,"Italy",2009,19,5,6,32,38,2,27,80,"Italy",2008,38,6,3,63
"Aston Villa",9,4,53000009,18600004,2335.67104852105,3,3,"England",2009,19,4,12,35,38,6,13,64,"England",2008,38,6,6,62
"Atalanta BC",11,5,8800011,21500005,1570.23487068487,2,3,"Italy",2009,19,19,-13,14,38,18,-16,35,"Italy",2008,38,11,-3,47
"Athletic",6,0,2350006,0,0,0,0,"Spain",2009,19,8,0,30,38,8,-3,54,"Spain",2008,38,13,-15,44
"Atlético Madrid",9,6,8250009,15900006,2901.04974667797,2,2,"Spain",2009,19,11,-1,23,38,9,-4,47,"Spain",2008,38,4,23,67
"Barcelona",5,8,99500005,26500008,156.5,2,2,"Spain",2009,19,1,39,49,38,1,74,99,"Spain",2008,38,1,70,87
"Bay. Leverkusen",8,4,6550008,900004,4746,1,1,"Germany",2009,17,1,22,35,34,4,27,59,"Germany",2008,34,9,13,49
"Blackburn",18,13,14980018,40050013,15048.1749623204,3,3,"England",2009,19,13,-15,20,38,10,-14,50,"England",2008,38,15,-20,41
"Bologna",8,2,4570008,2500002,901.26056841709,3,2,"Italy",2009,19,17,-9,17,38,17,-13,42,"Italy",2008,38,17,-19,37
"Bolton",11,4,9600011,4,3715.90369348901,3,3,"England",2009,19,18,-12,18,38,14,-25,39,"England",2008,38,13,-12,41
"Bor. Dortmund",11,3,10900011,200003,11329.8,1,2,"Germany",2009,17,5,6,30,34,5,12,57,"Germany",2008,34,6,23,59
"Bor. M'gladbach",8,2,10500008,8200002,1408.5,1,2,"Germany",2009,17,11,-5,21,34,12,-17,39,"Germany",2008,34,15,-23,31
"CA Osasuna",4,2,2460004,3000002,350,0,2,"Spain",2009,19,12,-3,23,38,12,-9,43,"Spain",2008,38,14,-6,43
"Cagliari Calcio",8,0,14150008,0,0,2,0,"Italy",2009,19,11,4,27,38,14,-2,44,"Italy",2008,38,9,-1,53
"Catania",13,4,13700513,4,4832.13823075475,3,3,"Italy",2009,19,18,-11,15,38,13,-1,45,"Italy",2008,38,15,-10,43
"Chelsea",14,10,30000014,3000010,21002.1568501982,3,3,"England",2009,19,1,28,42,38,1,71,86,"England",2008,38,3,44,83
"Chievo Verona",16,8,1900016,8,7902.59212713343,3,3,"Italy",2009,19,13,-1,24,38,16,-5,44,"Italy",2008,38,16,-14,38
"Dep. La Coruña",6,5,2000006,5000005,4788.43848001699,3,2,"Spain",2009,19,5,4,34,38,10,-14,47,"Spain",2008,38,7,1,58
"E. Frankfurt",10,1,1250010,1,7845.46666666667,1,1,"Germany",2009,17,10,-2,24,34,10,-7,46,"Germany",2008,34,13,-21,33
"Espanyol",11,6,5300011,4500006,3914.94116318463,2,2,"Spain",2009,19,14,-13,20,38,11,-17,44,"Spain",2008,38,10,-3,47
"Everton",6,5,23600006,55000005,7465.70838963011,2,3,"England",2009,19,12,-6,22,38,8,11,61,"England",2008,38,5,18,63
"FC Bayern",11,4,75700011,14950004,2693,2,2,"Germany",2009,17,3,19,33,34,1,41,70,"Germany",2008,34,2,29,67
"FC Lorient",11,6,3800011,9000006,2745.60454212454,1,2,"France",2009,19,9,7,29,38,7,12,58,"France",2008,38,10,0,45
"FC Schalke 04",12,2,4900012,2,3350.66666666667,1,1,"Germany",2009,17,2,13,34,34,2,22,65,"Germany",2008,34,8,12,50
"FC Sochaux",11,3,3500011,10000003,1127,2,2,"France",2009,19,14,-7,26,38,16,-24,41,"France",2008,38,14,-8,42
"Fiorentina",8,8,20800008,51400008,2185.4203494089,3,3,"Italy",2009,19,6,7,30,38,11,1,47,"Italy",2008,38,5,15,68
"Fulham",14,3,6900014,3,3965.35116215328,2,2,"England",2009,19,9,5,27,38,12,-7,46,"England",2008,38,7,5,53
"G. Bordeaux",8,7,28500008,11000007,174,1,2,"France",2009,19,1,20,43,38,6,18,64,"France",2008,38,1,30,80
"Genoa",17,14,59390017,61500014,3841.15056120566,3,3,"Italy",2009,19,9,0,28,38,9,-4,51,"Italy",2008,38,4,17,68
"Getafe",8,4,12250008,9900004,202,2,2,"Spain",2009,19,7,3,30,38,6,10,58,"Spain",2008,38,17,-6,42
"Grenoble",11,3,3600011,3,9357.75014146209,2,2,"France",2009,19,20,-23,7,38,20,-30,23,"France",2008,38,13,-13,44
"Hamburger SV",11,5,26000011,100005,1142.83333333333,1,1,"Germany",2009,17,4,15,31,34,7,15,52,"Germany",2008,34,5,2,61
"Hannover 96",7,0,950007,0,0,1,0,"Germany",2009,17,14,-6,17,34,15,-24,33,"Germany",2008,34,11,-20,40
"Hertha BSC",7,4,3010007,900004,1412.66666666667,1,2,"Germany",2009,17,18,-26,6,34,18,-22,24,"Germany",2008,34,4,7,63
"Hull City",14,8,14150014,29600008,17919.719697904,3,3,"England",2009,19,19,-22,17,38,19,-41,30,"England",2008,38,17,-25,35
"Inter",10,13,73200010,94600013,14168.7501676178,3,3,"Italy",2009,19,1,24,45,38,1,41,82,"Italy",2008,38,1,38,84
"Juventus",6,7,55800006,11500007,1675.4203494089,3,3,"Italy",2009,19,3,7,33,38,7,-1,55,"Italy",2008,38,3,32,74
"Lazio",10,5,27100010,12500005,2928.7853794349,3,2,"Italy",2009,19,16,-3,20,38,12,-4,46,"Italy",2008,38,10,-9,50
"Le Mans UC 72",12,1,2300012,4000001,1369,1,1,"France",2009,19,17,-11,16,38,18,-23,32,"France",2008,38,16,-11,40
"Liverpool",11,6,43500011,38500006,2942.46869144638,2,2,"England",2009,19,7,11,30,38,7,26,63,"England",2008,38,2,50,86
"LOSC Lille",8,3,8100008,18000003,820.8,2,2,"France",2009,19,3,18,34,38,4,32,70,"France",2008,38,5,12,64
"Málaga CF",15,5,1600015,900005,4659.42562239945,3,2,"Spain",2009,19,16,-5,17,38,17,-6,37,"Spain",2008,38,8,-4,55
"Man City",14,8,166800014,19850008,11684.4954487541,4,3,"England",2009,19,6,6,32,38,5,28,67,"England",2008,38,10,8,50
"Man Utd",4,6,27300004,100850006,1116.66666666667,2,2,"England",2009,19,3,22,40,38,2,58,85,"England",2008,38,1,44,90
"Marseille",13,5,40400013,19800005,1975,1,2,"France",2009,19,2,13,35,38,1,33,78,"France",2008,38,2,32,77
"Monaco",12,4,15200012,5000004,5793,2,2,"France",2009,19,7,2,30,38,8,-6,55,"France",2008,38,11,-4,45
"OGC Nice",8,1,6000008,1000001,483,2,1,"France",2009,19,16,-12,22,38,15,-16,44,"France",2008,38,9,-1,50
"Olympique Lyon",12,7,73700012,43500007,7689.14745747942,2,3,"France",2009,19,6,5,30,38,2,26,72,"France",2008,38,3,23,71
"Paris SG",7,4,14700007,1600004,1705.13601731602,2,2,"France",2009,19,8,13,29,38,13,4,47,"France",2008,38,6,11,64
"Portsmouth",19,13,14780019,36600013,13979.2981463727,4,3,"England",2009,19,20,-11,5,38,20,-32,19,"England",2008,38,14,-19,41
"Racing",12,8,6500012,6000008,12853.3460670108,2,2,"Spain",2009,19,13,-4,23,38,16,-17,39,"Spain",2008,38,11,1,46
"RCD Mallorca",9,5,400009,8600005,1471.33333333333,0,2,"Spain",2009,19,4,12,34,38,5,15,62,"Spain",2008,38,9,-7,51
"Real Madrid",8,8,253500008,75000008,4343.5762192336,2,2,"Spain",2009,19,2,30,44,38,2,67,96,"Spain",2008,38,2,31,78
"Real Valladolid",13,3,5750013,9500003,9895.26582853253,2,2,"Spain",2009,19,17,-12,17,38,18,-25,36,"Spain",2008,38,15,-12,43
"Saint-Étienne",10,5,24500010,14400005,5702.07741418938,2,2,"France",2009,19,18,-15,16,38,17,-18,40,"France",2008,38,17,-16,40
"Sampdoria",8,11,8500008,19250011,6862.34616028822,3,3,"Italy",2009,19,12,-5,26,38,4,8,67,"Italy",2008,38,13,-3,46
"Sevilla FC",6,4,27000006,1200004,1732.3999850953,3,2,"Spain",2009,19,6,8,33,38,4,16,63,"Spain",2008,38,3,15,70
"Siena",17,7,20600017,26400007,6499.16930608127,3,3,"Italy",2009,19,20,-16,12,38,19,-27,31,"Italy",2008,38,14,-11,44
"Sporting Gijón",6,0,1400006,0,0,1,0,"Spain",2009,19,10,-1,24,38,15,-15,40,"Spain",2008,38,16,-32,43
"Spurs",15,14,37200015,33200014,16049.9729880605,4,3,"England",2009,19,5,18,34,38,4,26,70,"England",2008,38,8,0,51
"SSC Napoli",6,7,49500006,3500007,73.5476976976977,3,2,"Italy",2009,19,4,5,33,38,6,7,59,"Italy",2008,38,12,-2,46
"Stade Rennais",7,5,14600007,12000005,8454.46666666667,1,2,"France",2009,19,10,6,29,38,9,11,53,"France",2008,38,7,8,61
"Stoke City",12,7,25400012,3500007,3231.61918767507,3,3,"England",2009,19,10,-6,24,38,11,-14,47,"England",2008,38,12,-17,45
"Sunderland",18,15,57400018,16700015,6277.83352282566,4,3,"England",2009,19,11,-3,22,38,13,-8,44,"England",2008,38,16,-20,36
"Toulouse",8,3,6000008,11500003,3436,1,2,"France",2009,19,15,3,25,38,14,0,47,"France",2008,38,4,18,64
"TSG Hoffenheim",10,5,9250010,5,1233,1,2,"Germany",2009,17,7,10,25,34,11,2,42,"Germany",2008,34,7,14,55
"UD Almería",6,4,5200006,2500004,431.461538461538,0,2,"Spain",2009,19,15,-11,18,38,13,-12,42,"Spain",2008,38,12,-16,46
"Udinese Calcio",16,11,10333016,26150011,8144.12575140283,3,2,"Italy",2009,19,14,-3,22,38,15,-5,44,"Italy",2008,38,7,11,58
"US Palermo",11,2,16600011,2,1611.19945609946,2,1,"Italy",2009,19,7,3,30,38,5,12,65,"Italy",2008,38,8,7,57
"Valencia",10,4,5000010,19200004,4455.58333333333,2,2,"Spain",2009,19,3,17,39,38,3,19,71,"Spain",2008,38,6,14,62
"Valenciennes FC",8,0,4950008,0,0,1,0,"France",2009,19,11,4,28,38,10,0,52,"France",2008,38,12,-7,44
"VfB Stuttgart",10,2,25600010,30000002,347,2,2,"Germany",2009,17,15,-7,16,34,6,10,55,"Germany",2008,34,3,20,64
"VfL Bochum",4,0,1200004,0,0,0,0,"Germany",2009,17,16,-15,16,34,17,-31,28,"Germany",2008,34,14,-16,32
"VfL Wolfsburg",7,3,22300007,4900003,1281,2,2,"Germany",2009,17,8,0,24,34,8,6,50,"Germany",2008,34,1,39,69
"Villarreal",6,5,22900006,5,15958.1886208798,2,2,"Spain",2009,19,9,4,26,38,7,1,56,"Spain",2008,38,5,7,65
"Werder Bremen",10,5,12450010,37300005,2625.2,2,2,"Germany",2009,17,6,16,28,34,3,31,61,"Germany",2008,34,10,14,45
"West Ham",14,9,28550014,40900009,6297.16342256168,3,3,"England",2009,19,17,-7,18,38,17,-19,35,"England",2008,38,9,-3,51
"Wigan",8,4,10400008,25800004,695,2,3,"England",2009,19,15,-18,20,38,16,-42,36,"England",2008,38,11,-11,45
